LINK,NAME OF EVENT,DATE
https://www.mofad.org/calendar/tiki-flavor-and-phenomenon-with-shannon-mustipher,TIKI: Flavor and Phenomenon with Shannon Mustipher,"Thursday, August 15, 2019"
https://www.mofad.org/calendar/back-to-school-the-policy-and-practice-of-school-lunch,Back to School: The Policy and Practice of School Lunch,"Thursday, August 22, 2019"
https://www.mofad.org/calendar/mofad-night-jouvert-queer-visibility-in-food-and-culture,MOFAD @ Night: J'ouvert - Queer Visibility in Food and Culture,"Friday, August 23, 2019"
https://www.mofad.org/calendar/studying-food-in-public-a-conversation,Studying Food in Public: A Conversation,"Thursday, September 5, 2019"
https://www.mofad.org/calendar/dining-at-downton-a-culinary-history,Dining at Downton: A Culinary History,"Thursday, September 19, 2019"
https://www.mofad.org/calendar/dinnerlab-delmonicos-restaurant-history-remixed,DinnerLab: Delmonico's - Restaurant History Remixed,"Tuesday, September 24, 2019"
https://www.mofad.org/calendar/open-to-anything-with-ivan-orkin-and-chris-ying,Open to Anything with Ivan Orkin and Chris Ying,"Thursday, September 26, 2019"
https://www.mofad.org/calendar/body-care-on-food-self-care-and-the-wellness-industry,"Body Care: On Food, Self-Care, and the Wellness Industry","Thursday, October 3, 2019"
https://www.mofad.org/calendar/writing-the-chinese-american-restaurant-with-lillian-li-and-serena-dai,Writing the Chinese American Restaurant with Lillian Li and Serena Dai,"Thursday, October 10, 2019"
https://www.mofad.org/calendar/food-education-as-social-change,Food Education as Social Change,"Thursday, October 24, 2019"
https://www.mofad.org/calendar/a-guide-to-natural-wine-with-alice-feiring,A Guide to Natural Wine with Alice Feiring,"Wednesday, October 30, 2019"
https://www.mofad.org/calendar/defining-womens-work-in-2019,"Defining ""Women's Work"" in 2019","Thursday, November 7, 2019"
https://www.mofad.org/calendar/seed-ethics-town-hall,Seed Ethics Town Hall,"Thursday, November 14, 2019"
https://www.mofad.org/calendar/our-harlem-live-with-marcus-samuelsson,Our Harlem Live with Marcus Samuelsson,"Thursday, November 21, 2019"
https://www.mofad.org/calendar/all-about-the-fat-hanukkah-at-mofad,All About the Fat: Hanukkah at MOFAD,"Wednesday, December 11, 2019"
https://www.mofad.org/calendar/resetting-the-table-the-future-of-chinese-food-and-drink-in-america,Re:Setting the Table: The Future of Chinese Food and Drink in America,"Thursday, January 16, 2020"
https://www.mofad.org/calendar/empty-waters-the-future-of-seafood-in-america,Empty Waters: The Future of Seafood in America,"Thursday, January 23, 2020"
https://www.mofad.org/calendar/love-gone-sour-a-vinegar-valentines-dinner,Love Gone Sour: A Vinegar Valentine's Dinner,"Thursday, February 13, 2020"
https://www.mofad.org/calendar/nourishing-japan-food-education-school-lunch-in-japan,Nourishing Japan: Food Education & School Lunch in Japan,"Thursday, February 20, 2020"
https://www.mofad.org/calendar/the-art-of-spam-with-jaime-sunwoo-of-specially-processed-american-me,The Art of SPAM with Jaime Sunwoo of Specially Processed American Me,"Thursday, February 27, 2020"
https://www.mofad.org/calendar/family-reunion-chow-closing-party,FAMILY REUNION: CHOW Closing Party,"Saturday, March 7, 2020"
https://www.mofad.org/calendar/bsdt7h9j25a4dddbh3e35eemrzt2c3,PANTRY CHALLENGE on Instagram Live with Chef Eric Kwan,"Friday, March 27, 2020"
https://www.mofad.org/calendar/happy-hour-on-instagram-live-with-dave-arnold-3,Happy Hour on Instagram Live with Dave Arnold,"Tuesday, March 31, 2020"
